dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02512,2015-01-01,190,1132,1,1,2015,3,1,5.957894736842105
B02765,2015-01-01,225,1765,1,1,2015,3,1,7.844444444444444
B02764,2015-01-01,3427,29421,1,1,2015,3,1,8.585059819083746
B02682,2015-01-01,945,7679,1,1,2015,3,1,8.125925925925927
B02617,2015-01-01,1228,9537,1,1,2015,3,1,7.76628664495114
B02598,2015-01-01,870,6903,1,1,2015,3,1,7.93448275862069
B02598,2015-01-02,785,4768,2,1,2015,4,1,6.073885350318472
B02617,2015-01-02,1137,7065,2,1,2015,4,1,6.213720316622691
B02512,2015-01-02,175,875,2,1,2015,4,1,5.0
B02682,2015-01-02,890,5506,2,1,2015,4,1,6.186516853932584
B02765,2015-01-02,196,1001,2,1,2015,4,1,5.107142857142857
B02764,2015-01-02,3147,19974,2,1,2015,4,1,6.34699714013346
B02765,2015-01-03,201,1526,3,1,2015,5,1,7.592039800995025
B02617,2015-01-03,1188,10664,3,1,2015,5,1,8.976430976430976
B02598,2015-01-03,818,7432,3,1,2015,5,1,9.08557457212714
B02682,2015-01-03,915,8010,3,1,2015,5,1,8.754098360655737
B02512,2015-01-03,173,1088,3,1,2015,5,1,6.289017341040463
B02764,2015-01-03,3215,29729,3,1,2015,5,1,9.24696734059098
B02512,2015-01-04,147,791,4,1,2015,6,1,5.380952380952381
B02682,2015-01-04,812,5621,4,1,2015,6,1,6.922413793103448
B02598,2015-01-04,746,5223,4,1,2015,6,1,7.001340482573727
B02765,2015-01-04,183,993,4,1,2015,6,1,5.426229508196721
B02617,2015-01-04,1088,7729,4,1,2015,6,1,7.103860294117647
B02764,2015-01-04,2862,20441,4,1,2015,6,1,7.142208245981831
B02512,2015-01-05,194,984,5,1,2015,0,2,5.072164948453608
B02682,2015-01-05,951,6012,5,1,2015,0,2,6.321766561514195
B02617,2015-01-05,1218,7899,5,1,2015,0,2,6.485221674876847
B02764,2015-01-05,3387,20926,5,1,2015,0,2,6.178328904635371
B02598,2015-01-05,907,5798,5,1,2015,0,2,6.392502756339581
B02765,2015-01-05,227,1133,5,1,2015,0,2,4.991189427312776
B02764,2015-01-06,3473,25301,6,1,2015,1,2,7.285056147422977
B02682,2015-01-06,1022,7491,6,1,2015,1,2,7.329745596868885
B02617,2015-01-06,1336,10128,6,1,2015,1,2,7.580838323353293
B02765,2015-01-06,234,1376,6,1,2015,1,2,5.880341880341881
B02512,2015-01-06,218,1314,6,1,2015,1,2,6.027522935779817
B02598,2015-01-06,933,6816,6,1,2015,1,2,7.305466237942122
B02617,2015-01-07,1363,11528,7,1,2015,2,2,8.457813646368304
B02682,2015-01-07,1039,9078,7,1,2015,2,2,8.737247353224253
B02764,2015-01-07,3603,29949,7,1,2015,2,2,8.312239800166529
B02765,2015-01-07,248,1704,7,1,2015,2,2,6.870967741935484
B02512,2015-01-07,217,1446,7,1,2015,2,2,6.663594470046083
B02598,2015-01-07,974,8397,7,1,2015,2,2,8.621149897330595
B02765,2015-01-08,262,1911,8,1,2015,3,2,7.293893129770993
B02598,2015-01-08,1070,10050,8,1,2015,3,2,9.392523364485982
B02512,2015-01-08,238,1772,8,1,2015,3,2,7.445378151260504
